EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.93656,74.926345,9,834588,1716229800000,1716279301000
EQPT-4,12.93665,74.9264183,8,834601,1716229800000,1716279306000
EQPT-4,12.9368233,74.9265316,19,834624,1716229800000,1716279312000
EQPT-4,12.9371083,74.9267483,20,834664,1716229800000,1716279320000
EQPT-4,12.9372483,74.9268266,24,834681,1716229800000,1716279323000
EQPT-4,12.9373783,74.9268583,25,834696,1716229800000,1716279325000
EQPT-4,12.9378916,74.9269633,30,834755,1716229800000,1716279332000
EQPT-4,12.9379633,74.9270033,30,834792,1716229800000,1716279333000
EQPT-4,12.9380916,74.9271033,32,834792,1716229800000,1716279335000
EQPT-4,12.9385616,74.9275133,34,834851,1716229800000,1716279342000
EQPT-4,12.9392699,74.928075,29,834951,1716229800000,1716279353000
EQPT-4,12.9399233,74.9287566,32,835054,1716229800000,1716279364000
EQPT-4,12.9400133,74.9289933,30,835083,1716229800000,1716279367000
EQPT-4,12.940205,74.929635,17,835156,1716229800000,1716279376000
EQPT-4,12.9405383,74.93051,23,835258,1716229800000,1716279396000
EQPT-4,12.9408033,74.9310966,20,835328,1716229800000,1716279406000
EQPT-4,12.94084,74.9312516,16,835346,1716229800000,1716279410000
EQPT-4,12.9408333,74.9312849,15,835349,1716229800000,1716279411000
EQPT-4,12.9408016,74.9314,18,835362,1716229800000,1716279414000
EQPT-4,12.9407116,74.93195,18,835424,1716229800000,1716279424000
EQPT-4,12.9407566,74.9319833,18,835430,1716229800000,1716279425000
EQPT-4,12.9408016,74.9320183,17,835436,1716229800000,1716279426000
EQPT-4,12.9408549,74.932075,21,835480,1716229800000,1716279427000
EQPT-4,12.9410166,74.9322266,33,835480,1716229800000,1716279429000
EQPT-4,12.941225,74.9324616,35,835504,1716229800000,1716279432000
EQPT-4,12.9413683,74.9328233,34,835546,1716229800000,1716279436000
EQPT-4,12.9413983,74.9332099,33,835589,1716229800000,1716279440000
EQPT-4,12.9412783,74.93324,31,835621,1716229800000,1716279441000
EQPT-4,12.9410449,74.9333366,37,835634,1716229800000,1716279444000
EQPT-4,12.9402983,74.9339116,37,835738,1716229800000,1716279453000
EQPT-4,12.9398183,74.9343566,39,835810,1716229800000,1716279459000
EQPT-4,12.9395416,74.934755,41,835863,1716229800000,1716279463000
EQPT-4,12.9394366,74.9349899,42,835920,1716229800000,1716279465000
EQPT-4,12.939385,74.9352466,41,835920,1716229800000,1716279467000
EQPT-4,12.9393316,74.9356099,41,835960,1716229800000,1716279470000
EQPT-4,12.9392283,74.9358083,38,835984,1716229800000,1716279472000
EQPT-4,12.9388383,74.9364566,42,836067,1716229800000,1716279479000
EQPT-4,12.9388483,74.9365666,40,836090,1716229800000,1716279480000
EQPT-4,12.9388833,74.936655,38,836090,1716229800000,1716279481000
EQPT-4,12.9389799,74.9368366,40,836112,1716229800000,1716279483000
EQPT-4,12.9391066,74.9369733,36,836153,1716229800000,1716279485000
EQPT-4,12.9391983,74.9370033,36,836153,1716229800000,1716279486000
EQPT-4,12.939285,74.9370183,31,836153,1716229800000,1716279487000
EQPT-4,12.9393733,74.93703,30,836163,1716229800000,1716279488000
EQPT-4,12.939615,74.9370316,27,836190,1716229800000,1716279491000
EQPT-4,12.9398266,74.9370066,27,836214,1716229800000,1716279494000
EQPT-4,12.9400333,74.936925,29,836239,1716229800000,1716279497000
EQPT-4,12.9403933,74.9367599,30,836283,1716229800000,1716279502000
EQPT-4,12.94093,74.93641,39,836354,1716229800000,1716279509000
EQPT-4,12.9411283,74.9363633,38,836376,1716229800000,1716279511000
EQPT-4,12.9416433,74.9363316,36,836434,1716229800000,1716279516000
EQPT-4,12.9420133,74.9363399,37,836475,1716229800000,1716279520000
EQPT-4,12.9426716,74.9365299,35,836551,1716229800000,1716279527000
EQPT-4,12.9427666,74.9365166,36,836593,1716229800000,1716279528000
EQPT-4,12.9428499,74.9364933,35,836593,1716229800000,1716279529000
EQPT-4,12.9429383,74.9364499,36,836593,1716229800000,1716279530000
EQPT-4,12.9431616,74.93626,37,836615,1716229800000,1716279533000
EQPT-4,12.9433633,74.93596,36,836654,1716229800000,1716279537000
EQPT-4,12.94384,74.93517,31,836755,1716229800000,1716279547000
EQPT-4,12.9443749,74.9343966,35,836858,1716229800000,1716279559000
